Using gpu device 0: GRID K520 (CNMeM is disabled)
/home/ubuntu/anaconda2/lib/python2.7/site-packages/Theano-0.8.0.dev0-py2.7.egg/theano/tensor/signal/downsample.py:5: UserWarning: downsample module has been moved to the pool module.
  warnings.warn("downsample module has been moved to the pool module.")
Couldn't import dot_parser, loading of dot files will not be possible.
left_eye_center_x            7039
left_eye_center_y            7039
right_eye_center_x           7036
right_eye_center_y           7036
left_eye_inner_corner_x      2271
left_eye_inner_corner_y      2271
left_eye_outer_corner_x      2267
left_eye_outer_corner_y      2267
right_eye_inner_corner_x     2268
right_eye_inner_corner_y     2268
right_eye_outer_corner_x     2268
right_eye_outer_corner_y     2268
left_eyebrow_inner_end_x     2270
left_eyebrow_inner_end_y     2270
left_eyebrow_outer_end_x     2225
left_eyebrow_outer_end_y     2225
right_eyebrow_inner_end_x    2270
right_eyebrow_inner_end_y    2270
right_eyebrow_outer_end_x    2236
right_eyebrow_outer_end_y    2236
nose_tip_x                   7049
nose_tip_y                   7049
mouth_left_corner_x          2269
mouth_left_corner_y          2269
mouth_right_corner_x         2270
mouth_right_corner_y         2270
mouth_center_top_lip_x       2275
mouth_center_top_lip_y       2275
mouth_center_bottom_lip_x    7016
mouth_center_bottom_lip_y    7016
Image                        7049
dtype: int64
X.shape == (2140, 9216); X.min == 0.000; X.max == 1.000
y.shape == (2140, 30); y.min == -0.920; y.max == 0.996
... building the model
261) precision=0.0000, Traning cost=0.0035, DE cost: 0.0067
262) precision=0.0000, Traning cost=0.0023, DE cost: 0.0064
263) precision=0.0000, Traning cost=0.0076, DE cost: 0.0064
264) precision=0.0000, Traning cost=0.0041, DE cost: 0.0064
265) precision=0.0000, Traning cost=0.0044, DE cost: 0.0063
266) precision=0.0000, Traning cost=0.0028, DE cost: 0.0063
267) precision=0.0000, Traning cost=0.0032, DE cost: 0.0063
268) precision=0.0000, Traning cost=0.0043, DE cost: 0.0065
269) precision=0.0000, Traning cost=0.0027, DE cost: 0.0063
270) precision=0.0000, Traning cost=0.0052, DE cost: 0.0066
271) precision=0.0000, Traning cost=0.0028, DE cost: 0.0064
272) precision=0.0000, Traning cost=0.0024, DE cost: 0.0064
273) precision=0.0000, Traning cost=0.0036, DE cost: 0.0064
274) precision=0.0000, Traning cost=0.0024, DE cost: 0.0064
275) precision=0.0000, Traning cost=0.0028, DE cost: 0.0063
276) precision=0.0000, Traning cost=0.0021, DE cost: 0.0062
277) precision=0.0000, Traning cost=0.0022, DE cost: 0.0065
278) precision=0.0000, Traning cost=0.0031, DE cost: 0.0060
279) precision=0.0000, Traning cost=0.0022, DE cost: 0.0065
280) precision=0.0000, Traning cost=0.0043, DE cost: 0.0064
281) precision=0.0000, Traning cost=0.0025, DE cost: 0.0063
282) precision=0.0000, Traning cost=0.0029, DE cost: 0.0062
283) precision=0.0000, Traning cost=0.0059, DE cost: 0.0062
284) precision=0.0000, Traning cost=0.0037, DE cost: 0.0061
285) precision=0.0000, Traning cost=0.0045, DE cost: 0.0062
286) precision=0.0000, Traning cost=0.0042, DE cost: 0.0064
287) precision=0.0000, Traning cost=0.0033, DE cost: 0.0063
288) precision=0.0000, Traning cost=0.0020, DE cost: 0.0062
289) precision=0.0000, Traning cost=0.0035, DE cost: 0.0061
290) precision=0.0000, Traning cost=0.0023, DE cost: 0.0061
291) precision=0.0000, Traning cost=0.0019, DE cost: 0.0061
292) precision=0.0000, Traning cost=0.0023, DE cost: 0.0063
293) precision=0.0000, Traning cost=0.0023, DE cost: 0.0062
294) precision=0.0000, Traning cost=0.0034, DE cost: 0.0063
295) precision=0.0000, Traning cost=0.0026, DE cost: 0.0062
296) precision=0.0000, Traning cost=0.0023, DE cost: 0.0062
297) precision=0.0000, Traning cost=0.0032, DE cost: 0.0061
298) precision=0.0000, Traning cost=0.0052, DE cost: 0.0063
299) precision=0.0000, Traning cost=0.0024, DE cost: 0.0062
300) precision=0.0000, Traning cost=0.0025, DE cost: 0.0061
301) precision=0.0000, Traning cost=0.0022, DE cost: 0.0060
302) precision=0.0000, Traning cost=0.0064, DE cost: 0.0063
303) precision=0.0000, Traning cost=0.0023, DE cost: 0.0061
304) precision=0.0000, Traning cost=0.0027, DE cost: 0.0064
305) precision=0.0000, Traning cost=0.0029, DE cost: 0.0060
306) precision=0.0000, Traning cost=0.0027, DE cost: 0.0059
307) precision=0.0000, Traning cost=0.0024, DE cost: 0.0060
308) precision=0.0000, Traning cost=0.0021, DE cost: 0.0062
309) precision=0.0000, Traning cost=0.0022, DE cost: 0.0063
310) precision=0.0000, Traning cost=0.0027, DE cost: 0.0061
311) precision=0.0000, Traning cost=0.0054, DE cost: 0.0061
312) precision=0.0000, Traning cost=0.0095, DE cost: 0.0061
313) precision=0.0000, Traning cost=0.0020, DE cost: 0.0061
314) precision=0.0000, Traning cost=0.0034, DE cost: 0.0062
315) precision=0.0000, Traning cost=0.0039, DE cost: 0.0061
316) precision=0.0000, Traning cost=0.0029, DE cost: 0.0063
317) precision=0.0000, Traning cost=0.0026, DE cost: 0.0061
318) precision=0.0000, Traning cost=0.0032, DE cost: 0.0061
319) precision=0.0000, Traning cost=0.0037, DE cost: 0.0059
320) precision=0.0000, Traning cost=0.0029, DE cost: 0.0059
321) precision=0.0000, Traning cost=0.0037, DE cost: 0.0059
322) precision=0.0000, Traning cost=0.0022, DE cost: 0.0060
323) precision=0.0000, Traning cost=0.0031, DE cost: 0.0062
324) precision=0.0000, Traning cost=0.0023, DE cost: 0.0060
325) precision=0.0000, Traning cost=0.0042, DE cost: 0.0061
326) precision=0.0000, Traning cost=0.0034, DE cost: 0.0060
